category,question,answer
Corporate College Scheme,Which department issues allotment orders?,Joint Director / Deputy Director / District SC Development Officer of the respective district.
Corporate College Scheme,"If a selected student misses the notified date, is the allotment cancelled?","No, 1–2 days' grace is given before it is cancelled."
Corporate College Scheme,How many selection phases are there?,As per seat availability — Phase I to Phase V etc.
Corporate College Scheme,Can boys' vacant seats be converted for eligible girls?,Yes.
Corporate College Scheme,Can vacant seats in one category be given to another category on merit?,Yes.
Corporate College Scheme,What is the next step after getting the allotment order?,Join the allotted college with the order issued by the DSCDO.
Corporate College Scheme,How to get the scholarship after joining?,Register in e-PASS in coordination with the College Principal.
Corporate College Scheme,How to check scholarship status?,Via the e-PASS website.
Corporate College Scheme,Where to approach if the scholarship is not sanctioned?,The respective departmental officer of the concerned district.
Corporate College Scheme,Is an attendance certificate required?,"Yes, the college furnishes it."
Corporate College Scheme,What attendance percentage is required?,75%.
Corporate College Scheme,Who are the respective departmental officers?,SC → JD/DD/DSCDO; ST → District Tribal Development Officer/DD; BC → District BC Development Officer; Minority → District Minority Development Officer.
Corporate College Scheme,Are scheme students segregated into separate sections?,"No — they are treated on par with others; discrimination invites severe action against the college, including stoppage of the scheme."
Corporate College Scheme,Where to approach for problems after admission?,The nearest District SC Development Officer.
Corporate College Scheme,Is academic performance tracked?,"Yes, the college maintains it on e-PASS."
Corporate College Scheme,How is tuition fee paid — one or two instalments?,Two instalments in year one; year two is subject to passing all subjects in year one.
Corporate College Scheme,Is admission given to Inter 2nd-year students?,No.
Corporate College Scheme,What are the requirements for colleges to be selected?,"Good infrastructure, sufficient residential accommodation, a track record of >90% pass with ≥50% first class/distinctions, success in IIT-JEE/AIEEE/EAMCET, experienced faculty."
Corporate College Scheme,Is there a District Selection Committee for colleges?,"Yes — District Collector (Chairman), Project Officer ITDA, DRDO, DSCDO (Convener), DTDO, DBCDO, DMDO, District Welfare Officer, Regional Inspecting Officer (BIE), and a Zilla Samakya education sub-committee member."
Corporate College Scheme,How are colleges selected?,The District Selection Committee visits registered colleges and selects those meeting the norms.
Corporate College Scheme,Do selected students get hostel facilities?,Yes.
Corporate College Scheme,Is only Intermediate education provided?,No — Intermediate education plus IIT-JEE/AIEEE/EAMCET coaching.
Corporate College Scheme,Toll-free number for details?,e-PASS toll-free number 7331130943.
Financial Aid to SC Advocates,Who calls for applications?,The District Collector.
Financial Aid to SC Advocates,How are applications called for?,Notification in district edition newspapers.
Financial Aid to SC Advocates,How/where to apply?,"Online, via https://telanganaepass.cgg.gov.in"
Financial Aid to SC Advocates,Where to get the application form?,Office of the erstwhile District SC Development Officer.
Financial Aid to SC Advocates,How many seats per district?,8 seats per erstwhile district.
Financial Aid to SC Advocates,How are candidates selected?,SC Law Graduates are appointed through the District Collector.
Financial Aid to SC Advocates,What if more than 8 applications are received?,An interview is held by a District Level Committee.
Financial Aid to SC Advocates,Is there a selection committee?,"Yes — District Collector (Chairman), Sessions Judge, Joint Collector (members), DSCDO (Convener)."
Financial Aid to SC Advocates,Where are selected candidates trained?,"Attached to Government Pleaders, Public Prosecutors, Assistant Public Prosecutors, etc."
Financial Aid to SC Advocates,How is the stipend sanctioned?,Based on an attendance certificate from the attached law officer.
Financial Aid to SC Advocates,How much stipend is paid?,"Rs. 1,000 per month."
Financial Aid to SC Advocates,What is the sanction procedure?,"Candidate details registered in e-PASS; on receipt of the attendance certificate, a bill is prepared to credit the stipend to the candidate's bank account."
Financial Aid to SC Advocates,How much is sanctioned for books/furniture?,"Rs. 6,000, as a one-time grant."
Financial Aid to SC Advocates,What is the training duration split?,18 months in criminal law and 18 months in civil law (36 months total).
Financial Aid to SC Advocates,What is the objective of the scheme?,"Training SC law graduates in the administration of justice, with a view to future employment."
Financial Aid to SC Advocates,What is the eligibility criteria?,Should be a law graduate and enrolled with the Bar Council.
Financial Aid to SC Advocates,Who is eligible?,Candidates belonging to SC category.
Financial Aid to SC Advocates,Are converted-Christian candidates eligible?,Only if converted from an SC community.
Financial Aid to SC Advocates,Is any reservation applicable?,No.
Financial Aid to SC Advocates,What is the income limit?,Rs. 2.00 lakhs per annum.
Financial Aid to SC Advocates,Is there an age limit?,Below 36 years.
Financial Aid to SC Advocates,Who is the sanctioning authority?,District SC Development Department.
Financial Aid to SC Advocates,What certificates are required?,"Law degree certificate, income & caste certificates, Bar Council registration, Aadhaar, bank account."
Financial Aid to SC Advocates,Can more than one candidate from a family be selected?,"Yes, no restriction."
Financial Aid to SC Advocates,Is an acquittance needed for furniture purchase?,"Yes, purchase bills serve as acquittance."
Financial Aid to SC Advocates,Are candidates from other districts eligible?,Only with a nativity certificate for that district.
Financial Aid to SC Advocates,Can a trainee work under a senior advocate during training?,Yes.
Financial Aid to SC Advocates,Is there a limit on candidates attached to one law officer?,No limit.
Financial Aid to SC Advocates,What is the total training duration?,36 months.
Financial Aid to SC Advocates,Can a candidate reapply a second time?,"No, only once."
Financial Aid to SC Advocates,Can a selected candidate apply for another scholarship during training?,No.
Financial Aid to SC Advocates,Can a candidate who discontinued reapply the next year?,No.
Financial Aid to SC Advocates,Is accommodation provided?,"No, only the stipend."
Financial Aid to SC Advocates,Is employment preference given after training?,No.
Financial Aid to SC Advocates,Are seats reserved by gender?,No.
Financial Aid to SC Advocates,Is placement assistance provided?,No.
Financial Aid to SC Advocates,Is a completion certificate given?,No.
Ambedkar Overseas Vidya Nidhi,What is AOVN?,Ambedkar Overseas Vidya Nidhi — a scheme for students pursuing master's studies abroad.
Ambedkar Overseas Vidya Nidhi,How to apply?,Register on the Telangana e-PASS portal under Ambedkar Overseas.
Ambedkar Overseas Vidya Nidhi,Application portal?,https://telanganaepass.cgg.gov.in
Ambedkar Overseas Vidya Nidhi,Who is eligible?,A student who completed graduation with 60% marks.
Ambedkar Overseas Vidya Nidhi,What is the income limit?,Overall family income below Rs. 5.00 lakhs.
Ambedkar Overseas Vidya Nidhi,What happens after applying?,"The applicant/parent should approach the District Officer; if not, the district team calls/emails. Social status is field-verified and reported to the HOD; pre-verification by the Commissioner's office; then selection by the State Level Screening Committee (SLSC)."
Ambedkar Overseas Vidya Nidhi,How many family members can avail this?,Only one child per family.
Ambedkar Overseas Vidya Nidhi,What documents are required?,Degree long memo; unconditional offer letter/I-20; valid score (GRE 260 / IELTS 6.0 / TOEFL 60 / GMAT 500 / PTE 50); passport with approved VISA (preferred before applying).
Ambedkar Overseas Vidya Nidhi,What if the applicant is earning after studies?,Submit an income certificate and Form-16 for every financial year.
Ambedkar Overseas Vidya Nidhi,What if there is a study gap of 1–6 years?,Submit a Gap Certificate issued by the MRO.
Ambedkar Overseas Vidya Nidhi,What if there was a gap with no employment?,Submit the Gap Certificate and a No-Earning Certificate from the Revenue Department.
Ambedkar Overseas Vidya Nidhi,What is the age criteria?,Not exceeding 35 years as on 1st July of the advertisement year.
Ambedkar Overseas Vidya Nidhi,How much is sanctioned?,"Up to Rs. 20 lakhs (or actual I-20 amount, whichever is less); one-way flight up to Rs. 50,000; VISA fee up to Rs. 50,000."
Ambedkar Overseas Vidya Nidhi,Is a hard copy required after online registration?,"Yes — one original + one attested Xerox set, per the checklist, submitted to the District Officer."
Ambedkar Overseas Vidya Nidhi,Will the Government pay university fees in advance?,No — the applicant pays fees first; the process for scholarship sanction starts after admission is confirmed.
Ambedkar Overseas Vidya Nidhi,Where is the amount credited?,Only to the student's own savings account in a nationalized bank (Jan Dhan/scholarship accounts are not accepted for large amounts).
Ambedkar Overseas Vidya Nidhi,How does the district officer sanction the amount?,"After SLSC selection, the Commissioner (SCDD) instructs the District Officer; flight & VISA charges (up to Rs. 50,000) sanctioned first; after landing, boarding pass/I-94/university ID/fee receipt uploaded for the 1st instalment of Rs. 10 lakhs; 2nd instalment of Rs. 10 lakhs after submitting 1st semester results and a utilization certificate."
Ambedkar Overseas Vidya Nidhi,Which countries are eligible?,"USA, Canada, Germany, France, UK, Singapore, Japan, South Korea, Australia, New Zealand (top 10 universities)."
Ambedkar Overseas Vidya Nidhi,What is the minimum course duration?,18 to 36 months.
Ambedkar Overseas Vidya Nidhi,Are candidates who already completed PG eligible?,"No, but they are eligible to pursue a Ph.D. abroad."
Ambedkar Overseas Vidya Nidhi,Is there separate financial assistance for a Degree abroad?,No.
Ambedkar Overseas Vidya Nidhi,Is there an education loan facility?,"Yes, up to Rs. 5.00 lakhs from a nationalized bank at the prevailing interest rate, as per G.O.Ms.No.54."
Ambedkar Overseas Vidya Nidhi,Is coaching provided for GRE/IELTS/TOEFL/PTE/GMAT?,Yes.
Ambedkar Overseas Vidya Nidhi,Is a Duolingo score card accepted?,"No, not included as per G.O.Ms.No.54."
Ambedkar Overseas Vidya Nidhi,Must all entrance tests (GRE/IELTS/TOEFL/PTE/GMAT) be taken?,"No, only the one required by the target university."
Ambedkar Overseas Vidya Nidhi,Is a student eligible if they started working after graduation and earn above Rs. 5 lakhs?,"No, not eligible."
Ambedkar Overseas Vidya Nidhi,"Will the Government pay flight charges above Rs. 50,000?","No, capped at Rs. 50,000 or actual, whichever is less (per G.O.Ms.No.2, dt. 05-02-2021)."
Ambedkar Overseas Vidya Nidhi,Will the Government pay the full tuition/living cost if it is Rs. 25–40 lakhs?,"No, only up to Rs. 20 lakhs is sanctioned."
Ambedkar Overseas Vidya Nidhi,"If tuition/living cost is only Rs. 15–18 lakhs, is the full Rs. 20 lakhs still sanctioned?","No, only the amount shown in I-20, up to Rs. 20 lakhs."
Ambedkar Overseas Vidya Nidhi,"If parents are deceased and a relative supports the student, is the student eligible?",Submit the parents' death certificate and the guardian's income certificate.
Ambedkar Overseas Vidya Nidhi,"If parents are deceased and the student works, are they eligible?",Submit an income certificate.
Ambedkar Overseas Vidya Nidhi,"If the father is deceased, whose income certificate is submitted?",The mother's.
Ambedkar Overseas Vidya Nidhi,"If parents are separated, whose income certificate is required?",Whichever parent the student lives with.
Ambedkar Overseas Vidya Nidhi,"If parents are divorced, whose income certificate is required?",Whichever parent the student lives with.
Ambedkar Overseas Vidya Nidhi,If the father cannot work due to health issues and the mother works as domestic help?,Submit her income certificate.
Ambedkar Overseas Vidya Nidhi,If the father is deceased and the mother works as domestic help?,Submit whatever income certificate reflects her income source.
Ambedkar Overseas Vidya Nidhi,"If the applicant is married, whose caste certificate is required?",As mentioned in the parents' SSC/Inter/Degree records.
Ambedkar Overseas Vidya Nidhi,"If married, whose income certificate is required?",The spouse's.
Ambedkar Overseas Vidya Nidhi,"If married and both spouses work, whose income is considered?",Both — submit both income certificates and Form-16 for each year worked.
Ambedkar Overseas Vidya Nidhi,"If married, both working, and combined income is Rs. 5.50 lakhs, is the applicant eligible?",No — the limit is Rs. 5.00 lakhs.
Skill Up-gradation Programme,What is the Skill Up-gradation Programme?,Free coaching for SC & ST students in eligibility tests for admission to foreign universities.
Skill Up-gradation Programme,Who is eligible?,SC/ST graduates with above 60% marks.
Skill Up-gradation Programme,Which courses are covered?,"IELTS, PTE, TOEFL, GRE, GMAT."
Skill Up-gradation Programme,Where are the coaching institutions located?,All empanelled institutes are in Hyderabad.
Skill Up-gradation Programme,Can a student from a remote area apply?,Yes.
Skill Up-gradation Programme,Is online training available?,"No, currently offline only."
Skill Up-gradation Programme,Is accommodation provided?,No.
Skill Up-gradation Programme,What documents are required?,"Photo, caste/income certificates (Mee-Seva), bonafide certificate, ration card, SSC certificate, Aadhaar, TC, bank passbook (1st page), residence certificate, scanned latest marks memos."
Skill Up-gradation Programme,Can one apply for multiple courses?,"Yes, up to 2 courses at the same institute, not across different institutes."
Skill Up-gradation Programme,Can a student change the training institute?,"Yes, once only."
Skill Up-gradation Programme,What is the training duration?,"60 days, sessions of 1.5 hours."
Skill Up-gradation Programme,Can more than one family member apply?,"No, only one per family."
Skill Up-gradation Programme,Who pays the exam and VISA fees?,The student.
Skill Up-gradation Programme,Is the Rs. 20 lakh scholarship guaranteed on completion of coaching?,"No, it depends on the Selection Committee."
Skill Up-gradation Programme,What is the income limit?,Below Rs. 5.00 lakhs per annum.
Skill Up-gradation Programme,Is a non-recent pass-out eligible?,"Yes, with a Gap Certificate."
Skill Up-gradation Programme,Is technical support available for e-PASS issues?,Yes.
Skill Up-gradation Programme,Can a 3rd-year graduation student take coaching?,Yes.
Skill Up-gradation Programme,Can a 2nd-year student take GRE & IELTS coaching?,"Yes — GRE in 2nd year, and IELTS/PTE/TOEFL in 3rd year is suggested."
Skill Up-gradation Programme,Is Duolingo coaching provided?,"No, not currently prescribed."
Skill Up-gradation Programme,Can a 4th-year Engineering student take coaching?,Yes.
Skill Up-gradation Programme,Is a certificate given after coaching?,Depends on the empanelled institute; check before joining.
Skill Up-gradation Programme,Is regular attendance mandatory?,Yes.
Skill Up-gradation Programme,Who conducts the final test?,The certification body/coaching institute.
Skill Up-gradation Programme,Can a student switch from offline to online mid-course?,Generally the online option is not available.
Skill Up-gradation Programme,Is study material provided?,"Yes, by empanelled institutes."
Skill Up-gradation Programme,Can a student take different courses at different institutes?,"Generally not advisable, except in cases of transfer (relocation, medical, etc.)."
Skill Up-gradation Programme,Can the course duration be shortened?,Not advisable — minimum instruction hours are prescribed for better scores.
Skill Up-gradation Programme,Can a discontinued student rejoin later?,Advised to complete in one go; extraordinary cases need department approval.
Skill Up-gradation Programme,Can a working professional join?,"Yes, if below 35 years and planning higher education abroad."
Skill Up-gradation Programme,Can a married couple both take coaching?,"Yes, if both belong to SC and are below 35 years."
Pre-Matric Scholarship,What is Pre-Matric Scholarship?,"Scholarship for students in Govt./Govt.-aided schools, Classes V–VIII (New Scheme) and IX–X (Rajiv Vidya Deevena)."
Pre-Matric Scholarship,Where to apply?,Only online at www.telanganaepass.cgg.gov.in
Pre-Matric Scholarship,Can a student get both a national and state-level scholarship?,No — not eligible if receiving any other scholarship.
Pre-Matric Scholarship,How much is the scholarship?,"Classes V–VIII: Rs. 1,000 (boys), Rs. 1,500 (girls). Classes IX–X: Rs. 3,000 for both."
Pre-Matric Scholarship,When can I apply?,Registrations generally open in September/October each academic year.
Pre-Matric Scholarship,What documents are required?,"Aadhaar-linked bank account (joint if minor), Aadhaar card, caste certificate (Mee-Seva only), income certificate (Mee-Seva only), study certificate, passport photo."
Pre-Matric Scholarship,What is the application process?,"Register online, submit hard copy with certificates to the Head Master for verification, who forwards it (via the local HWO) to the District Office for sanction."
Pre-Matric Scholarship,What is the eligibility criteria?,SC category; studying in a Govt./Govt.-aided school; parental income below Rs. 2.00 lakhs; Aadhaar; regular student.
Pre-Matric Scholarship,Can I get the scholarship twice for a repeated class?,"No, only once per class."
Pre-Matric Scholarship,Are private-school students eligible?,No — only Govt./local-body/Govt.-aided school students.
Pre-Matric Scholarship,How do I know if my application is registered?,Via application status on the e-PASS Pre-Matric Scholarship Services section.
Pre-Matric Scholarship,How can I check my scholarship status?,Same section on the e-PASS home page.
Pre-Matric Scholarship,How can I print my application form?,Pre-Matric Scholarship Services → Print Application → enter details → Print.
Pre-Matric Scholarship,Which bank accounts are accepted?,Only nationalized bank accounts in India.
Pre-Matric Scholarship,Must the account be Aadhaar-linked?,"Yes, done by the bank manager on submitting the Aadhaar card."
Pre-Matric Scholarship,Can a parent's bank account be used?,The account must be in the student's name; a joint account with a parent/guardian is accepted if the student is a minor.
Pre-Matric Scholarship,Is a joint account accepted otherwise?,Only for minors.
Pre-Matric Scholarship,How do I know the amount is credited?,Check the status — 'Sent to Treasury' means it will be credited within a few days.
Pre-Matric Scholarship,Is a ration card required?,"Not for upload, but its number must be entered in the application."
Pre-Matric Scholarship,Can a disabled SC student get both SC and disabled scholarships?,"No, they receive the PWD scholarship."
Pre-Matric Scholarship,Can hostel students apply?,Yes — day scholars get it in their own account; hostellers' amount is credited to the HWO's account.
Pre-Matric Scholarship,Is Aadhaar mandatory?,"Yes, along with an Aadhaar-linked bank account."
Pre-Matric Scholarship,What is the income limit?,Rs. 2.00 lakhs per annum.
Pre-Matric Scholarship,Is the scholarship merit-based?,No.
Pre-Matric Scholarship,Is renewal automatic?,No — renewal registration must be applied for each academic year.
Pre-Matric Scholarship,Who is the sanctioning officer?,The concerned District SC Development Officer.
Pre-Matric Scholarship,Can I edit application details after registration?,"Yes, Aadhaar/bank details can be re-uploaded; other edits are available at the district office."
Pre-Matric Scholarship,How do I know if a scholarship is accepted or rejected?,Check the status — 'sanctioned' means accepted.
Pre-Matric Scholarship,What if incorrect bank/IFSC details were submitted?,Re-upload the bank details or contact the district officer.
Pre-Matric Scholarship,How can I re-upload rejected Aadhaar details?,Via the Pre-Matric Scholarship Services section on e-PASS.
Pre-Matric Scholarship,What documents accompany the hard copy?,"Head Master's covering letter, application form, Aadhaar-linked bank passbook copy, Aadhaar card copy, caste & income certificates (Mee-Seva), study/bonafide certificate."
Pre-Matric Scholarship,Where is the hard copy submitted?,"To the Head Master, who forwards it via the HWO to the DSCDO office."
Pre-Matric Scholarship,How long after submitting the hard copy will the amount be credited?,Depends on budget availability; contact the District Officer for status.
Pre-Matric Scholarship,What are common reasons for rejection?,Receiving another scholarship; not a bonafide student; income above the limit; irregular attendance; discontinued study; incorrect details; missing hard copy.
Pre-Matric Scholarship,What if my school is not listed on e-PASS?,The Head Master should consult the District Officer for registration with UDISE code details.
Pre-Matric Scholarship,Is a previous- or current-year study certificate required?,Must have passed the previous year and submit the current-year study/bonafide certificate.
Pre-Matric Scholarship,Status shows 'sent to treasury' but no credit — what now?,It will be credited in a few days; contact the District Officer for details.
Hyderabad Public Schools (HPS),What is HPS?,"A scheme providing SC students admission to Hyderabad Public Schools, Begumpet & Ramanthapur."
Hyderabad Public Schools (HPS),What is the objective?,To provide 100% quality education on par with general students in a prestigious school.
Hyderabad Public Schools (HPS),Eligibility criteria?,SC students seeking admission to Class I.
Hyderabad Public Schools (HPS),Age limit?,"5+ years, not more than 6 years, as on 31st May of the academic year."
Hyderabad Public Schools (HPS),What is the income limit?,Below Rs. 1.50 lakhs p.a. (rural) / Rs. 2.00 lakhs p.a. (urban).
Hyderabad Public Schools (HPS),Is reservation applicable?,Yes — 15% of Class I seats at each school.
Hyderabad Public Schools (HPS),How many children per family are eligible?,Two.
Hyderabad Public Schools (HPS),Where to get the application form?,From the District SC Development Officer.
Hyderabad Public Schools (HPS),What is the benefit amount?,"Tuition fee of Rs. 90,000 to Rs. 2,00,000 p.a. for day-scholars and hostellers, Class I to XII."
Hyderabad Public Schools (HPS),How to apply?,Register at the DSCDO office after a local newspaper notification.
Hyderabad Public Schools (HPS),Online or manual?,Manual application; scholarship sanctioned online.
Hyderabad Public Schools (HPS),Web portal?,https://telanganaepass.cgg.gov.in
Hyderabad Public Schools (HPS),Sanctioning authority?,"Commissioner (SCDD), Hyderabad."
Hyderabad Public Schools (HPS),Who scrutinizes the application?,"The DSCDO, with reference to caste, income, and date-of-birth certificates."
Hyderabad Public Schools (HPS),What is the sanction procedure?,HPS Principals inform the Commissioner (SCDD) that admissions are open; Commissioner instructs the District Collector to notify locally; DSCDO calls for applications up to the allotted seats.
Hyderabad Public Schools (HPS),How are students selected?,"By draw/lottery for Class I admission, conducted by the District Collector/DSCDO."
Hyderabad Public Schools (HPS),What does the district officer do next?,"Sends selected candidates' applications to the Commissioner (SCDD), with social status verification, for a medical test."
Hyderabad Public Schools (HPS),Is a medical test mandatory?,Yes; unfit candidates are denied admission.
Hyderabad Public Schools (HPS),How is the scholarship sanctioned?,The HPS Principal registers the admitted student in e-PASS and forwards it to the DSCDO for sanction.
Hyderabad Public Schools (HPS),Where is the amount credited?,Directly to the school's bank account through e-PASS.
Hyderabad Public Schools (HPS),Where to complain in case of grievance?,District SC Development Officer / Commissioner (SCDD).
Hyderabad Public Schools (HPS),What follow-up action is taken after sanction?,Maintain remittance/challan records and budget & reconciliation figures.
Hyderabad Public Schools (HPS),Can scholarship status be checked online?,No provision in e-PASS for this.
Hyderabad Public Schools (HPS),Is there accommodation for SC-sponsored students from districts?,No.
Hyderabad Public Schools (HPS),Is uniform provided for male students beyond the tuition fee?,"Yes — Rs. 1,500 credited directly to the student account."
